ID;Dados_DDS
1;A1
2;A2
3;AA
4;AA9
5;AA_AUX
6;AA_AUX6
7;AA_Aux10
8;AA_Aux3
9;AA_Aux7
10;AA_Aux8
11;AA_Aux9
12;AA_aux2
13;Aluno_DadosSocioEconomicos
14;Aluno_SemestreAno
15;Curriculo_PlanoInicial
16;Curriculo_PlanoInicial_Padrao
17;DDS_Inscricao_Tabela
18;DDS_Login_Acesso_Tabela
19;DadosSocioEconomicos_Avaliacao
20;DadosSocioEconomicos_Opcoes
21;DadosSocioEconomicos_Pergunta
22;Inscricao_AlterarCurriculo
23;Log_Aluno_AlterarCota
24;Log_Aluno_AlterarCursoUniversidadeCurriculo
25;Log_Aluno_AlterarDadosCadastrais
26;Log_Aluno_AlterarDadosCadastrais_Inscricao
27;Log_Aluno_AlterarNome
28;Log_Aluno_AlterarNotasVestibularEnem
29;Log_Aluno_AlterarPolo
30;Log_Aluno_AlterarSituacao
31;Log_Aluno_AlterarSituacao_Modificacoes
32;Log_Aluno_AlterarSituacao_TipoOperacao
33;Log_Aluno_BloqueioInscricao
34;Log_AtividadeAcademica_Modificacoes
35;Log_AtividadeAcademica_TipoOperacao
36;Log_Curriculo_DisciplinaPolo
37;Log_Curriculo_Modificacoes
38;Log_Curriculo_TipoOperacao
39;Log_Grade_DisciplinaCursoUniversidade
40;Log_Grade_Horario
41;Log_Grade_Modificacoes
42;Log_Grade_TipoOperacao
43;Log_Inscricao_Modificacoes
44;Log_Inscricao_TipoOperacao
45;Log_Login_Anteriores
46;Log_Material_Modificacoes
47;Log_Material_TipoOperacao
48;Log_Usuario_Modificacoes
49;Log_Usuario_TipoOperacao
50;Log_Usuario_UsuarioNota
51;Migra_Alteracao_CodigoDisciplina
52;Migra_Aluno_AlterarCursoUniversidadeCurriculo
53;Migra_Aluno_AlterarPolo
54;Migra_Aluno_DadosSocioEconomicos
55;Migra_Aluno_Entrada
56;Migra_Aluno_EntradaAuxArquivoENEM
57;Migra_Aluno_EntradaAuxArquivoVestibular
58;Migra_Aluno_Entrada_Inscricao_Avulsa
59;Migra_Aluno_Mobilidade_Excel
60;Migra_Dados_SistemaNotas
61;Migra_Disciplinas_Orientacao
62;Migra_Login_Tutor_Coordenador
63;Migra_Login_Tutoria
64;Migra_PreInscricao
65;Migra_TrancamentoFisicasXn
66;Migra_Trancamentos
67;Regra_Inscricao
68;Trancamento
69;a3
70;a3nota
71;aa_Aux4
72;aa_Aux5
73;abcdef
76;temp_obterEvasaoApartirDe2009
